Make,Broad.phase.of.flight,Incident Count
Christopher Coats,Cruise,1
Christopher D. Brown,Maneuvering,1
Christopher John P,Unknown,1
Christopher Norris,Approach,1
Chumsae,Cruise,1
Cianchette,Takeoff,1
Ciernia,Cruise,2
Cirrus,Approach,2
Cirrus,Climb,3
Cirrus,Cruise,3
Cirrus,Go-around,1
Cirrus,Landing,3
Cirrus,Maneuvering,2
Cirrus,Takeoff,1
Cirrus,Unknown,55
Cirrus Design,Landing,1
Cirrus Design,Taxi,1
Cirrus Design,Unknown,2
Cirrus Design Corp,Approach,1
Cirrus Design Corp,Climb,1
Cirrus Design Corp,Cruise,2
Cirrus Design Corp,Unknown,1
Cirrus Design Corp.,Approach,5
Cirrus Design Corp.,Climb,3
Cirrus Design Corp.,Cruise,9
Cirrus Design Corp.,Go-around,3
Cirrus Design Corp.,Landing,15
Cirrus Design Corp.,Maneuvering,14
Cirrus Design Corp.,Takeoff,6
Cirrus Design Corp.,Taxi,2
Cirrus Design Corp.,Unknown,14
Cirrus Design Corporation,Climb,2
Cirrus Design Corporation,Unknown,8
Cirrus Klappmeier,Takeoff,1
Citabria,Landing,2
Clamar Floats INC,Unknown,1
Clancy,Takeoff,1
Clapp,Takeoff,1
Clarence F. Callahan,Approach,1
Clark,Approach,1
Clark,Maneuvering,2
Clark,Takeoff,4
Clark,Taxi,1
Clark,Unknown,1
Clark/loken,Landing,1
Clarke,Approach,1
Clarke Colin,Unknown,1
Clarke Colin A,Unknown,1
Clarks Pitt Special,Maneuvering,1
Classic Aircraft Corp,Cruise,1
Classic Aircraft Corp,Takeoff,1
Classic Aircraft Corp.,Approach,1
Classic Aircraft Corp.,Cruise,3
Classic Aircraft Corp.,Landing,6
Classic Aircraft Corp.,Maneuvering,2
Classic Aircraft Corp.,Takeoff,2
Classic Aircraft Corp.,Taxi,3
Classic Fighter Industries,Landing,1
Clatanoff,Cruise,1
Clatti,Maneuvering,1
Claude E. Merrin,Takeoff,1
Claxton,Cruise,1
Claypool,Landing,1
Clearwaters,Cruise,1
Cleberg,Landing,1
Clement,Approach,1
Clement-kazmierczak,Landing,1
Cleveland,Maneuvering,1
Cleveland Orson,Taxi,1
Clifford,Maneuvering,1
Clifton Dixon,Takeoff,1
Clopton Aero Llc,Takeoff,1
Close,Maneuvering,1
Cloud,Takeoff,1
Cloud-wag Aero,Landing,1
Cloutier,Maneuvering,1
Clunis,Landing,1
Clutton Eric,Unknown,1
Clyde K Carrier,Cruise,1
Clyde L. King,Maneuvering,1
Cobb International,Approach,1
Cobb Intl,Descent,1
Cobb Intl,Takeoff,1
Cocchi,Takeoff,1
Cocchiarella,Takeoff,1
Cocks,Landing,1
Codding/fluno,Landing,1
Coelho,Taxi,1
Coen,Cruise,1
Cohen,Takeoff,1
Colburn,Takeoff,1
Coleman,Landing,1
"Colgate, Henry A.",Takeoff,1
Collard,Unknown,1
Collette,Cruise,1
Collette,Landing,1
Colliander,Cruise,1
Collier,Climb,1
Collier,Maneuvering,1
Collin Campbell,Takeoff,1
Collins,Approach,1
Collins Charles A,Maneuvering,1
Colman,Approach,1
Colonial,Approach,1
Colonial,Landing,3
Colonial,Maneuvering,2
Colson/goodbread,Takeoff,1
Coltrin,Approach,1
Columbia,Climb,1
Columbia,Landing,1
Columbia,Maneuvering,1
Columbia,Unknown,1
Columbia Aircraft,Cruise,1
Columbia Aircraft Mfg,Landing,1
Columbia Aircraft Mfg.,Unknown,1
Columbia Helicopters,Unknown,1
Colvin,Takeoff,1
Colyaer SL,Unknown,1
Comben,Unknown,1
Comeau,Takeoff,1
Comeaux,Takeoff,1
Commander,Approach,1
Commander,Climb,1
Commander,Cruise,3
Commander,Takeoff,4
Commander,Taxi,1
Commander,Unknown,4
Commander Aircraft,Go-around,1
Commander Aircraft Company,Unknown,2
Commens,Maneuvering,1
Commings,Takeoff,1
Commonwealth,Approach,2
Commonwealth,Cruise,1
Commonwealth,Takeoff,3
Commonwealth,Unknown,1
Comp Air Inc. (Plambeck),Unknown,1
Composite Aircraft Mfg Co.,Cruise,1
Concept,Maneuvering,1
Condor,Approach,1
Condor,Cruise,1
Condor,Maneuvering,1
Condor,Takeoff,1
Condor Aircraft,Maneuvering,1
Condor Ii,Maneuvering,1
Cone,Landing,1
Conkey/wapelhorst,Takeoff,1
Conn,Cruise,2
Conn,Takeoff,1
Connell,Landing,1
Conner,Takeoff,1
Conover's,Landing,1
Conrad,Landing,1
Conrad Menzel,Landing,1
Consolidated Aero,Takeoff,1
Consolidated Aeronautics Inc.,Approach,2
Consolidated Aeronautics Inc.,Cruise,2
Consolidated Aeronautics Inc.,Landing,9
Consolidated Aeronautics Inc.,Maneuvering,3
Consolidated Aeronautics Inc.,Takeoff,8
Consolidated Aeronautics Inc.,Unknown,1
"Consolidated Aeronautics, Inc",Takeoff,1
"Consolidated Aeronautics, Inc.",Unknown,1
Consolidated-vultee,Approach,1
Consolidated-vultee,Cruise,2
Consolidated-vultee,Landing,3
Consolidated-vultee,Maneuvering,2
Consolidated-vultee,Other,1
Consolidated-vultee,Standing,1
Consolidated-vultee,Takeoff,4
Consolidated-vultee,Taxi,1
Construcciones Aeronauticas,Unknown,1
Continental,Landing,1
Continental,Maneuvering,2
Continental Copters,Approach,1
Continental Copters,Descent,2
Continental Copters,Maneuvering,18
Continental Copters,Takeoff,4
Continental Copters,Taxi,2
Continental Copters,Unknown,2
Continental Mk5a,Approach,1
Convair,Approach,4
Convair,Climb,5
Convair,Cruise,10
Convair,Descent,1
Convair,Go-around,1
Convair,Landing,6
Convair,Maneuvering,1
Convair,Takeoff,6
Convair,Unknown,5
Convair Div. Of Gen. Dynamics,Approach,1
Convair Div. Of Gen. Dynamics,Climb,1
Convair Div. Of Gen. Dynamics,Cruise,1
Convair Div. Of Gen. Dynamics,Standing,1
Convair Div. Of Gen. Dynamics,Takeoff,1
Convair Div. Of Gen. Dynamics,Unknown,1
Cook,Descent,1
Cook,Landing,1
Cook,Maneuvering,1
Cook,Unknown,1
Cooke,Takeoff,2
Cooley,Landing,1
Cooper,Cruise,1
Cooper,Maneuvering,1
Cooprider,Takeoff,1
Coot,Takeoff,1
Cora,Takeoff,1
Corben,Maneuvering,1
Corben,Other,1
Corben,Takeoff,2
Corben Baby Ace,Takeoff,1
Corbin,Landing,1
Corbin/king,Maneuvering,1
Corbus/winters,Takeoff,1
Corby Starlet,Takeoff,1
Corey,Maneuvering,1
Corken/guillet,Cruise,1
Corlett-beahm,Cruise,1
Corley,Takeoff,1
Corley Hubert,Takeoff,1
Cornelius,Cruise,1
Cornwell,Approach,1
Corporate Jets Limited,Other,1
Corsario,Unknown,1
"Cortesy, John E",Unknown,1
Corvus,Unknown,1
Cosmos,Climb,1
Cosmos,Landing,1
Cosmos,Unknown,2
Costa,Takeoff,1
Costruzioni Aeronautiche,Unknown,2
Costruzioni Aeronautiche Tecna,Unknown,3
Costruzioni AeronauticheTecnam,Unknown,1
Couden,Maneuvering,1
Cougar,Takeoff,1
Coughlin,Maneuvering,1
Coursey,Cruise,1
Coutz,Maneuvering,1
Couvillion,Unknown,1
Cox,Climb,1
Cox Clyde H,Unknown,1
Cox Thorpe,Landing,1
Cox/pitts,Landing,1
Crabtree,Unknown,1
Craig,Landing,1
Craig,Takeoff,1
Craig A. Gordon,Takeoff,1
Craig Morehead,Cruise,1
Craig N. Moen,Approach,1
Craig R. Merrill,Landing,1
Craighead,Cruise,1
Crane,Maneuvering,1
Crane,Takeoff,1
Craven,Cruise,1
Craven's Quickie,Cruise,1
Crawford,Maneuvering,1
Crawford-gordon,Climb,1
Creed,Climb,1
Creed,Takeoff,1
Creekmore,Cruise,1
"Creitz, Robert D",Cruise,1
Cremer,Approach,1
Cresap,Cruise,1
Cresawn Pitts,Other,1
Crescenzi,Maneuvering,1
Cress,Maneuvering,1
Crimmins,Cruise,1
Crisenbery,Cruise,1
Crisman,Unknown,1
Croke,Approach,1
Croke,Go-around,1
Croman Corporation,Cruise,1
Cromwell/pitts,Maneuvering,1
Crook,Climb,1
Crosby,Approach,1
Crosetti,Takeoff,1
Crosley,Maneuvering,1
Cross-Capps,Unknown,1
Crouch,Cruise,1
Crowder,Cruise,1
Crowley/zenair,Approach,1
Crowser,Takeoff,1
Croy,Landing,1
Crozier,Takeoff,1
Cruiser,Unknown,1
Crump,Cruise,1
Crusenberry,Taxi,1
Cruz,Unknown,1
Cryder,Takeoff,1
Cub Crafters,Landing,2
Cub Crafters,Taxi,1
Cub Crafters,Unknown,14
Cub Crafters Inc,Unknown,1
Cub Crafters Inc.,Landing,1
"Cub Crafters, Inc.",Unknown,1
CubCrafters,Unknown,2
CubCrafters Inc,Unknown,3
"CubCrafters, Inc",Unknown,1
Cubcrafter,Unknown,2
Cubcrafters,Landing,1
Cubcrafters,Unknown,2
"Cubcrafters, Inc",Unknown,1
"Cuevas, Orlando S",Climb,1
"Cuevas, Orlando S.",Landing,1
Culbertson,Maneuvering,1
Cullen/roth,Cruise,1
Cullen/roth,Maneuvering,1
Culver,Approach,1
Culver,Cruise,1
Culver,Descent,2
Culver,Landing,1
Culver,Maneuvering,2
Culver,Takeoff,7
Culver,Unknown,1
"Culver, Aurther L.",Approach,1
Culver-revolution,Taxi,1
Cumberland,Approach,1
Cumberland-pitts Special,Cruise,1
Cummings Quickie,Takeoff,1
Cunningham,Maneuvering,1
Cunningham,Takeoff,2
Cunningham,Unknown,1
Curl,Landing,1
Current,Descent,1
Curry,Descent,1
Curry,Takeoff,1
Curt Hoffstad,Maneuvering,1
Curtis,Cruise,1
Curtis,Landing,1
Curtis,Standing,1
Curtis,Takeoff,1
Curtis-travel Air,Takeoff,1
Curtis-wright,Cruise,1
Curtis-wright,Landing,1
Curtis-wright,Taxi,1
Curtis-wright,Unknown,1
Curtiss,Cruise,1
Curtiss,Landing,2
Curtiss,Takeoff,2
Curtiss Moses,Unknown,1
Curtiss Wright,Unknown,1
Curtiss-Wright,Unknown,2
Curtiss-wright,Approach,1
Curtiss-wright,Climb,1
Curtiss-wright,Cruise,2
Curtiss-wright,Landing,9
Curtiss-wright,Maneuvering,1
Curtiss-wright,Takeoff,1
Curtiss-wright,Taxi,3
Cushing,Takeoff,1
Cushing,Unknown,1
"Custom Aerotech, Inc.",Maneuvering,1
Cutler,Takeoff,1
Czech Aircraft Works,Maneuvering,1
Czech Aircraft Works,Takeoff,2
Czech Aircraft Works,Unknown,4
Czech Aircraft Works SPOL SRO,Unknown,2
Czech Aircraft Works Spol Sro,Unknown,1
Czech Sport,Unknown,3
Czech Sport AIrcraft,Unknown,1
Czech Sport Aircraft,Unknown,1
Czech Sport Aircraft AS,Unknown,1
Czech Sport Aircraft a.s.,Unknown,1
D & D AIRCRAFT,Unknown,1
D & K AVIATION,Unknown,1
D'amico,Takeoff,1
D'apuzzo,Landing,1
D-Fly,Unknown,1
D. Wayne Smith,Unknown,1
D.w. Owens,Takeoff,1
DACEY,Unknown,1
DAFOE GERALD W,Unknown,1
DAHER,Unknown,1
DAKOTA,Unknown,1
DALE BERKBIGLER,Unknown,1
DALIN RONALD K,Unknown,1
DAN JELINEK,Unknown,1
DANIEL ANTHONY PROCTOR,Unknown,1
DANIELS,Unknown,1
DANIELS ALAN L,Unknown,2
DANKELMAN PETER G,Unknown,1
DANTONIO,Unknown,1
DARNEY,Unknown,1
DARROW STEPHEN,Unknown,1
DARYL BAKER,Unknown,1
DASSAULT,Unknown,7
DASSAULT AVIATION,Unknown,3
DASSAULT-BREGUET,Unknown,3
DASSAULT/SUD,Unknown,3
DAVENPORT,Unknown,1
DAVID FITZGERALD,Unknown,1
DAVID L THOMPSON,Unknown,1
DAVID S MEEK,Unknown,1
DAVID SHELL,Unknown,1
DAVID SHOTWELL,Unknown,1
DAVID W OAKES,Unknown,1
DAVIDSON,Unknown,1
DAVIS BENNY,Unknown,1
DAVIS DAN B,Unknown,1
DAVIS DANIEL T,Unknown,1
DAVIS DONALD M,Unknown,1
DAVIS FRANK R,Unknown,1
DAVIS JOHN,Unknown,1
DAVIS MARK,Unknown,1
DAVIS MICHAEL J,Unknown,2
DAY WILLIAM L,Unknown,2
DAYTON,Unknown,1
DAYTON A BABCOCK,Unknown,2
DAYTON A DABBS,Unknown,1
DAYTON-WRIGHT,Unknown,1
DE HAVILLAND,Unknown,31
DEAN DAVID E,Unknown,1
DEAN LESLIE N,Unknown,1
DEAN PATRICK G,Unknown,1
DEARMOND CLINT,Unknown,1
DEDEAUX GARY G,Unknown,1
DEHAVILLAND,Unknown,91
DEHAVILLAND CANADA,Unknown,1
DEITZ,Unknown,1
DEKKINGA,Unknown,1
DELCONTE EMIDIO J,Unknown,1
DELF TIM,Unknown,1
DELL LAWRENCE,Unknown,1
DELWYN SCHMIDT,Unknown,1
DEMPSEY DANIEL M,Unknown,1
DENISAR RICHARD A,Unknown,1
DENNIS l ZUMBALT,Unknown,1
DEROUSSE,Unknown,1
DESTINY,Unknown,5
DESTINY POWERED PARACHUTES LLC,Unknown,1
DETRICK DONALD G,Unknown,1
DEVOE,Unknown,1
DEVRIES WM H,Unknown,1
DEWSNUP DAVE,Unknown,1
DG FLUGZEUGBAU GMBH,Unknown,4
DG Flugzeugbau,Unknown,1
DG-FLUGZEUGBAU GMBH,Unknown,1
DIAL DAVID L,Unknown,1
DIAMOND,Unknown,30
DIAMOND AIRCRAFT,Unknown,1
DIAMOND AIRCRAFT IND GMBH,Unknown,8
DIAMOND AIRCRAFT IND INC,Unknown,74
DIAMOND AIRCRAFT INDUSTRIES,Unknown,1
DIAMOND AIRCRAFT INDUSTRIES IN,Unknown,1
DICKENSON,Unknown,1
DIEHL WILLIAM A,Unknown,1
DIETERICH ROBERT A,Unknown,1
DIETRICH RYAN,Unknown,1
DISTAR CZ AS,Unknown,1
DITTENBER THOMAS J,Unknown,1
DIVEN ROBERT,Unknown,1
DIVIS S L/WALTRIP A J,Unknown,1
DIXON,Unknown,1
DJI,Unknown,3
DOAN VERNON D,Unknown,1
DOBBS GEORGE,Unknown,1
DOKTOR FIBERGLAS,Unknown,1
DOMBROSKI FRANK,Unknown,1
DON W GUICE,Unknown,1
DONALD BERNARD HIGGS,Unknown,1
DONALD G STOKES,Unknown,1
DONHAM TIMOTHY J,Unknown,1
DOPPELT FREDRIC F,Unknown,1
DORMAIER MONTE R,Unknown,1
DORMAN,Unknown,1
DORNIER,Unknown,7
DORNIER GMBH,Unknown,2
DOSHIER WILBERT A,Unknown,1
DOSSER DALE A,Unknown,1
DOTSON WILLIAM P,Unknown,1
DOUBLEDAY DONALD,Unknown,1
DOUGLAS,Unknown,26
DOUGLAS BRIAN G,Unknown,1
DOUGLAS K THOMPSON,Unknown,1
DOVA AIRCRAFT,Unknown,1
DOVA AIRCRAFT SRO,Unknown,1
DOWNER,Unknown,2
DOYLE JAMES E,Unknown,1
DRAKE,Unknown,1
DRATBE SHMIEL AMIR,Unknown,1
DRESSEN DONALD L,Unknown,1
DREYER,Unknown,1
DRIGGERS QUILLAN E,Unknown,1
DRONE PAUL E,Unknown,1
DUENAS,Unknown,1
DUFFY RUSSELL A,Unknown,1
DUKE PAUL,Unknown,1
DUNN DAVID,Unknown,1
DURFEE FRED,Unknown,1
DURLING JAMES,Unknown,1
DUSENBERRY MARK J,Unknown,1
DWYER MICHAEL D,Unknown,1
"Daffron, Harold C.",Takeoff,1
Daher,Unknown,1
Dahlman,Landing,1
Dahlman-Dower,Unknown,1
Dahlstrom - Piel Emeraude,Landing,1
Daigneault,Takeoff,1
Dale Conover,Descent,1
Dallmeyer,Landing,1
Dammann,Approach,1
Dan T. Zelazo,Takeoff,1
Dana A. Moore,Taxi,1
Danbrook,Descent,1
Dangremond,Takeoff,1
Daniel,Landing,1
Daniel A. Shapiro,Landing,1
Daniel J. Lee,Landing,1
Daniel J. Zoerb,Cruise,1
Daniel L Patrick,Unknown,1
Daniel La Lee,Maneuvering,1
Daniel M. Dent,Approach,1
Daniel R. Lloyd,Maneuvering,1
Daniel S. Taylor,Takeoff,1
Daniel Squire,Takeoff,1
Daniels,Landing,1
Daniels,Takeoff,1
Danny M Damron,Cruise,1
Danny W. Sadek,Takeoff,1
Dantzer Lawrence L,Maneuvering,1
Darlington,Takeoff,1
Darrell,Takeoff,1
Darrell D. Dugger,Unknown,1
Darrell W. Mc Moran,Takeoff,1
Darren M. Vinelli,Unknown,1
Darrow Stephen A,Unknown,1
Darst,Cruise,1
Dart,Unknown,1
Dassault,Approach,4
Dassault,Climb,1
Dassault,Cruise,1
Dassault,Descent,2
Dassault,Landing,5
Dassault,Takeoff,4
Dassault,Taxi,1
Dassault,Unknown,5
Dassault Aviation,Approach,2
Dassault Aviation,Cruise,2
Dassault Aviation,Landing,5
Dassault Aviation,Taxi,2
Dassault Aviation,Unknown,1
Dassault Falcon,Unknown,1
Dassault-Breguet,Unknown,1
Dassault-breguet,Approach,1
Dassault-breguet,Climb,2
Dassault-breguet,Cruise,2
Dassault-breguet,Landing,5
Dassault-breguet,Maneuvering,1
Dassault-breguet,Takeoff,4
Dassault-breguet,Unknown,2
Dassault/sud,Cruise,1
Dassault/sud,Descent,1
Dassault/sud,Landing,1
Dassault/sud,Takeoff,2
Daub,Maneuvering,1
Daughters,Cruise,1
Dauntless,Maneuvering,1
Dave Ronneberg,Maneuvering,1
Davenport,Landing,1
Davenport,Maneuvering,1
Davenport,Unknown,1
Davenport (van's),Takeoff,1
David B. Robertson,Takeoff,1
David C. Bock,Maneuvering,1
David Cadorette,Takeoff,1
David G. Holmes,Approach,1
David Gordon,Standing,1
David Jarrett,Unknown,1
David K. Maxwell,Descent,1
David Lowe,Landing,1
David Mcelhannon,Climb,1
David Nielson,Takeoff,1
David S Robbins,Cruise,1
Davidson,Landing,1
"Davidson, Ronald A.",Unknown,1
Davidson-thorpe,Landing,1
Davis,Approach,2
Davis,Cruise,1
Davis,Landing,2
Davis,Maneuvering,5
Davis,Takeoff,8
Davis,Unknown,1
Davis Starship,Go-around,1
Davis-zenair,Approach,1
Davis/cleaver,Approach,1
Davis/crouch,Unknown,1
Davison,Unknown,2
Dawe,Takeoff,1
Day,Approach,1
Day,Maneuvering,1
Day,Takeoff,1
Dayon,Unknown,1
De Havilland,Approach,34
De Havilland,Climb,13
De Havilland,Cruise,47
De Havilland,Descent,9
De Havilland,Go-around,2
De Havilland,Landing,58
De Havilland,Maneuvering,32
De Havilland,Other,1
De Havilland,Standing,9
De Havilland,Takeoff,93
De Havilland,Taxi,37
De Havilland,Unknown,47
De Malignon,Descent,1
DeHavilland,Unknown,2
DeSousa,Unknown,1
Dean,Takeoff,1
Dean Bartel,Go-around,1
Dean R. Fellows,Cruise,1
Deangelo,Takeoff,1
Dearinger,Landing,1
Deaton,Maneuvering,1
Debarry/starduster,Takeoff,1
Debay,Takeoff,1
Deberry,Takeoff,1
Debus J / Mountain S / Bowes E,Unknown,1
Debus/mountain/bowes,Maneuvering,1
Deer/reffalt,Cruise,1
Defelici,Landing,1
Degair,Landing,1
Degelia,Landing,1
Degraw,Unknown,1
Dehaan,Takeoff,1
Dehavilland,Approach,1
Dehavilland,Cruise,2
Dehavilland,Landing,2
Dehavilland,Takeoff,2
Dehavilland,Unknown,1
Dejager,Cruise,1
Delbridge,Cruise,1
Deleeuw,Climb,1
Deley Starduster,Cruise,1
Dellicker,Takeoff,1
Delong,Landing,1
Delts Wing Kites,Takeoff,1
Deluca-owl,Maneuvering,1
Demeter,Takeoff,1
Demick James A,Cruise,1
Demmer,Unknown,1
Dempsey,Cruise,2
Denight,Cruise,1
Denil,Takeoff,1
Denis,Takeoff,1
Denmark,Approach,1
Denney,Landing,1
Denney,Maneuvering,1
Denney,Unknown,4
Denney Aerocraft,Takeoff,1
Denney Aircraft Behn,Go-around,1
Dennis L. Fetters,Maneuvering,1
Dennis L. Long,Takeoff,1
Dennis M. Durgin,Approach,1
Dennis P. McGurk,Unknown,1
Dennis Pointer,Landing,1
Denny Aerocraft,Unknown,1
Denzer,Takeoff,1
Derego,Takeoff,1
Derosier,Maneuvering,1
Derr,Landing,1
Desalvatore Al,Unknown,1
Desimone,Takeoff,1
Destiny,Unknown,2
Destiny Powered Parachutes,Unknown,1
Deussen Alexander Ii,Approach,1
Devaughn,Cruise,1
Devendorf,Maneuvering,1
Devenport,Cruise,1
Dever,Cruise,1
Dever,Landing,1
Devereux,Landing,2
Devor,Maneuvering,1
Devore Sunbird,Takeoff,1
Devries,Cruise,1
Deweese,Approach,1
"Dewitt, Richard A.",Climb,1
Dfl Holdings Inc.,Unknown,1
Dg,Taxi,1
Dgflugzeugbau,Approach,1
Dial-thorp,Maneuvering,1
Diamond,Unknown,19
Diamond Aicraft Industries Inc,Unknown,1
Diamond Aircraft,Approach,1
Diamond Aircraft,Climb,1
Diamond Aircraft,Landing,1
Diamond Aircraft,Unknown,1
Diamond Aircraft Industries,Approach,5
Diamond Aircraft Industries,Climb,2
Diamond Aircraft Industries,Cruise,6
Diamond Aircraft Industries,Go-around,1
Diamond Aircraft Industries,Landing,8
Diamond Aircraft Industries,Maneuvering,6
Diamond Aircraft Industries,Takeoff,8
Diamond Aircraft Industries,Taxi,1
Diamond Aircraft Industries,Unknown,6
Diamond Aircraft Industry Inc,Unknown,1
Dickenson,Landing,1
Dickey,Maneuvering,1
Dickey,Unknown,1
Dickinson,Cruise,1
Dickmann,Takeoff,1
Dickson,Descent,1
Dickson,Landing,1
Dickson Vans Aircraft,Unknown,1
Didier Siffer (E-AB),Unknown,1
Diehl,Takeoff,1
Diehl,Unknown,1
Diemert/rotorway,Takeoff,1
Dietrich,Climb,1
Dietz,Cruise,1
Digimas,Maneuvering,1
Dilley,Cruise,1
Dillinger,Landing,1
Dimaria,Takeoff,1
Dinkel-brook Corp,Takeoff,1
Dirks Glaser,Landing,1
Ditommasso-keminski,Takeoff,1
Dix,Go-around,1
Dixon,Cruise,1
Dixon,Takeoff,1
Dobbs,Approach,1
Dodd,Maneuvering,1
Dodd,Takeoff,1
Doellefeld,Takeoff,1
Doerr Raymond R,Approach,1
"Dofka, Martin F.",Takeoff,1
Doggett Jack,Landing,1
Domaille,Climb,1
Domeier,Cruise,1
Dominiak,Maneuvering,1
Don G. Kaye,Takeoff,1
Don Jackman,Maneuvering,1
Don Showalter,Landing,1
Donald A Chiasson,Landing,1
Donald E. Bradshaw,Maneuvering,1
Donald E. Crocker,Landing,1
Donald E. Kovol,Landing,1
Donald E. Samuels,Takeoff,1
Donald K Stovall,Unknown,1
Donald L. Betchan,Takeoff,1
Donald L. Hedeman,Takeoff,1
Donald R. Casper,Maneuvering,1
Donald R. Lee,Takeoff,1
Donald Rhodes,Maneuvering,1
Donald W Devine,Landing,1
Donald W. Sorrels,Approach,1
Donald White,Cruise,1
Donegan Benton,Landing,1
Donegan Benton,Unknown,1
Donner Pitts,Landing,1
Donner/parton,Cruise,1
Donovan,Takeoff,1
Dooley,Cruise,1
"Dooley, James M",Approach,1
"Dorfman,william A.",Takeoff,1
Dormoy,Cruise,1
Dornbos,Landing,1
Dornier,Approach,1
Dornier,Climb,2
Dornier,Cruise,3
Dornier,Descent,6
Dornier,Landing,4
Dornier,Standing,1
Dornier,Takeoff,4
Dornier,Taxi,1
Dornier,Unknown,3
Dotson,Cruise,1
Double D Enterprises,Landing,1
Douglas,Approach,13
Douglas,Climb,16
Douglas,Cruise,35
Douglas,Descent,10
Douglas,Go-around,3
Douglas,Landing,37
Douglas,Maneuvering,8
Douglas,Other,1
Douglas,Standing,12
Douglas,Takeoff,55
Douglas,Taxi,24
Douglas,Unknown,41
Douglas A. Pohl,Unknown,1
Douglas C. Campbell,Cruise,1
Douglas D. Turner,Unknown,1
Douglas Maselink,Approach,1
Douglas Swanningson,Taxi,1
Douglas/basler,Taxi,1
Dowell Vaughn,Unknown,1
Downer,Cruise,1
Downer,Takeoff,1
Downer,Unknown,1
Downer Aircraft Industries,Approach,1
Downer Aircraft Industries,Climb,1
Downer Aircraft Industries,Cruise,2
Doyle,Cruise,1
Doyle-Michael,Unknown,1
Dragon Fly,Landing,1
Dragon Fly Aviation,Unknown,1
Drake,Approach,1
Drake,Climb,1
Drake,Landing,1
Drake Ronald A,Unknown,1
Dralle (Van's Aircraft),Unknown,1
Draper,Cruise,1
Dresbach,Takeoff,1
Dressen,Unknown,1
Dreyer-starduster,Landing,1
Driver,Unknown,1
Drlik,Takeoff,1
Drochak,Unknown,1
Dromader,Takeoff,1
Druckman,Takeoff,1
Druine,Other,1
Dryer,Cruise,1
Drzymala,Cruise,1
Dta Sari,Landing,1
Dubis,Cruise,1
Dubois,Landing,1
Duce Project,Approach,1
Duci,Landing,1
Duci's Vans,Maneuvering,1
Dufault Mark V,Unknown,1
Duff,Maneuvering,1
Duffy,Cruise,1
Duffy,Takeoff,1
Duffy/wagner,Cruise,1
"Duke, Clarence E.",Approach,1
Duncan,Approach,1
Durbin,Cruise,1
Durbin,Takeoff,1
Durkota,Takeoff,1
Durr,Cruise,1
Durrwachter,Takeoff,1
Dusenberry,Maneuvering,1
Duskin,Landing,1
Dusseau,Maneuvering,1
Dutton,Cruise,1
Dwayne Smith,Cruise,1
Dwight Lohr,Unknown,1
Dyar,Climb,1
Dye,Cruise,1
Dykas,Unknown,1
E Newton,Landing,1
E Tn Plts Starduster,Takeoff,1
E. E. Schilling,Approach,1
E. J. Humphrey,Maneuvering,1
E.c Trynka,Maneuvering,1
E.e. Shilling,Climb,1
E.j. Novotny,Takeoff,1
E.l. Craig,Takeoff,1
E.l. Erickson,Takeoff,1
E.l. Griggs,Maneuvering,1
E.r. Hutson,Takeoff,1
E.t. Meredith Iii,Maneuvering,1
EADS SOCATA,Unknown,2
EAGLE,Unknown,5
EAGLE AIRCRAFT CO,Unknown,1
EAGLE R&D INC,Unknown,1
EAGLESTON JOHN H,Unknown,1
EALAND CHARLES,Unknown,1
EARL ALLEN,Unknown,1
EASLER KELLY,Unknown,1
EASTABROOKS JOHN T,Unknown,1
EASTER WILLIAM C,Unknown,1
EASTERWOOD MARK W,Unknown,1
EASTON,Unknown,1
EBERLE JOHN S,Unknown,1
ECCKER,Unknown,1
ECKENRODE CARL J,Unknown,1
ECLIPSE AEROSPACE INC,Unknown,1
ECLIPSE AVIATION,Unknown,1
ECLIPSE AVIATION CORP,Unknown,5
EDGE,Unknown,2
EDSON ROBERT W,Unknown,1
EDWARD M VAN MORLAN,Unknown,1
EDWARD W GRAY,Unknown,1
EDWARDS DOUGLAS L,Unknown,1
EICHHORN GARY L,Unknown,1
EIPPER,Unknown,3
EIPPER FORMANCE INC,Unknown,1
EIRIAVION OY,Unknown,3
ELDRIDGE GEORGE,Unknown,1
ELEMDORF,Unknown,1
ELKIND BRUCE,Unknown,1
ELLEFSON,Unknown,1
ELLUMAX LEASING LLC,Unknown,1
ELVIN JACK R JR,Unknown,1
EMBRAER,Unknown,130
EMBRAER EXECUTIVE AIRCRAFT INC,Unknown,1
EMBRAER S A,Unknown,9
EMBRAER S.A.,Unknown,2
EMBRAER SA,Unknown,1
EMBRAER-EMPRESA BRASILEIRA DE,Unknown,6
EMERAUDE,Unknown,1
EMERSON,Unknown,1
EMERY MARK,Unknown,1
EMMET SMITH,Unknown,1
ENBODY FRANK,Unknown,1
ENGINEERING & RESEARCH,Unknown,15
ENGLE DAVID,Unknown,1
ENGLISH ELECTRIC LIGHTNING,Unknown,1
ENSTROM,Unknown,49
ENSTROM HELICOPTER CORP,Unknown,7
EPIG,Unknown,1
ERCOUPE,Unknown,34
ERIC A MUNZER,Unknown,1
ERICK MAGNO & ASSOC PA,Unknown,1
ERICKSON,Unknown,1
ERICKSON AIR CRANE,Unknown,1
ERICKSON LARRY D,Unknown,1
ERNEST T CHRISTLEY,Unknown,1
EROS,Unknown,1
ERTZ MARK G,Unknown,1
